property_type,city,area_sqft,bedrooms,bathrooms,location
Apartment,Pune,900,2,1,Baner
Villa,Mumbai,930,3,2,Andheri
Apartment,Bengaluru,960,4,3,Whitefield
Villa,Pune,990,2,1,Wakad
Apartment,Mumbai,1020,3,2,Baner
Villa,Bengaluru,1050,4,3,Andheri
Apartment,Pune,1080,2,1,Whitefield
Villa,Mumbai,1110,3,2,Wakad
Apartment,Bengaluru,1140,4,3,Baner
Villa,Pune,1170,2,1,Andheri
Apartment,Mumbai,1200,3,2,Whitefield
Villa,Bengaluru,1230,4,3,Wakad
Apartment,Pune,1260,2,1,Baner
Villa,Mumbai,1290,3,2,Andheri
Apartment,Bengaluru,1320,4,3,Whitefield
Villa,Pune,1350,2,1,Wakad
Apartment,Mumbai,1380,3,2,Baner
Villa,Bengaluru,1410,4,3,Andheri
Apartment,Pune,1440,2,1,Whitefield
Villa,Mumbai,1470,3,2,Wakad
